Gender, family members,guidance related to field,avaling scholarship,I opted for this program of study because of my own interest.,SGPA in BS First semester,SGPA in BS Second semester,SGPA in BS Third semester,SGPA in BS Fourth semester,SGPA in BS Fifth semester,CGPA in BS Fifth semester, lecture language,lecture mode,sitting place,lecture duration,number of students,lecture material,attendance,TVFs often reschedule classes that negatively impacts my performance.,TVFs are very difficult to access after class timings and hence I am unable to clarify my concepts.,TVFs do not provide assessment results timely so I remain unaware of my standing in class.,TVFs are not aware of the university's curriculum and other requirements.,TVFs grade students according to their own beliefs and criteria and hence my GPA suffers.,TVFs are not very well prepared for the lectures due to their busy schedule.,TVFs have short-term relations with students and hence do not show sincere behavior to polish my academic skills. ,residence place,An ample amount of time is consumed on daily commuting and all energy is drained during travelling.,"Due to class/ lab cancellation or roads blockage, lots of time get wasted due to fixed official transport timings.",Hostelite can be more focused towards their studies whereas a day scholar may have a lot of distractions due to family issues.,"Hostelites have more opportunities to engage with their peers and participate in social events, that improve their performance.","Hostelites have better access to campus resources like libraries, instructors, labs and also get benefit of group study. ",Hostelites have a big social circle and connections with seniors who can guide them in studies and in other academic and administrative issues.,Un-announced quizzes are quite stressful and cause unnecessary anxiety and pressure on students.,Un-announced quizzes are a form of torture and have negative impact on learning environment.,I am not usually prepared for surprise quizzes and hence these are not true measures of my knowledge and understandings.,Un-announced quizzes are a waste of time and energy and are not effective and productive in the long term.,I cannot miss a single class despite my health or any other emergency situations due to unannounced quizzes as it badly effects my grade.,"I usually do not perform very well in surprise quizzes, hence lose my interest in the subject.","Due to overall academic workload, it is not possible to study/ practice each subject on daily basis, to prepare myself for unannounced quizzes.",Class Representative (CR) is favored more than any ordinary student as he/ she is in more contact with teachers.,"If a student is more active in class, then it is more likely that the teacher would be lenient during his/ her exam checking. ","Some teachers show more kindness towards female students, and it is clearly reflected in their grades. ",Preferential treatment with selective students creates a negative classroom environment and affects the learning experience. ,Discrimination distracts me from focusing on the course and I lose interest in attending the classes. ,"Discrimination negatively effects my mental condition, confidence, and overall engagement in the classroom. ",A proper classroom environment and discipline is not possible to maintain in online environment.,"Due to lack of technical expertise, senior instructors struggle a lot in online lectures, and I lose my interest.",It is difficult to convey complex concepts in online mode and hence quality of education suffers.,"It becomes a hobby to watch recorded lectures later on, so I try to cover a lot of content in a short time that becomes difficult to absorb.",I am easily distracted by social media and other sources of interruptions during online lectures.,"It reduces social interaction that results in a feeling of isolation, and I lose interest in studies.","It is easier for students to cheat in online exams, leading to academic dishonesty and hence I lose my motivation.",Lack of technical resources create disruptions during lectures and make it difficult to understand. ,I prefer to revise the lectures daily or before the next class of the same subject.,I frequently make use of You tube or Chat GPT for understanding of different concepts.,I enjoy and perform well in non-technical (Humanities/ Management/ Social Science) courses.,I am usually well prepared for exams but unable to attempt properly due to exam stress.,Instructors often miss lectures and arrange makeup classes that further increases my burden.,My classes schedule is usually very tight that hinders the process of learning.,I often come across health issues that effect my academic performance.,My preferable mode of study is:,My preferable time of study is:,Lowest Parent Income,Maximum Parent Income,Lowest Mobile Usage,Maximum Mobile Usage,Matric Percentage,Inter Percentage
Female,5,NO,NO,Neutral,3.91,3.79,3.17,3.17,2.92,3.39,both,none,middle,1 hour,none,Notes,Strongly agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Day scholar,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Independent study,Day time,300000,1000000,3 hours,4  hours,90.28,79.36
Male,5,NO,NO,Strongly Agree,3.73,3.22,3.4,3.47,2.81,3.33,Urdu,both,none,1 hour,none,Concepts,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Day scholar,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Independent study,Day time,300000,1000000,8 hours,10 hours,76.57,85.71
Male,4,NO,YES,Agree,1.75,3.98,3.7,3.15,3.77,3.27,both,both,front,1 hour,30,Concepts,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Disagree,Day scholar,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Group study,Late night,300000,1000000,3 hours,4  hours,80.76,72.67
Female,5,NO,NO,Disagree,2.78,2.66,3.13,2.68,3.3,2.91,both,both,front,1 hour,40,Notes,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Day scholar,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Independent study,Late night,300000,1000000,3 hours,4  hours,80.98,85.95
Female,6,NO,NO,Agree,1.47,3.2,3.41,3.04,2.8,2.78,both,both,none,1 hour,none,Notes,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Day scholar,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Group study,Day time,300000,1000000,1 hours,2  hours,70.81,86.37
Female,5,YES,YES,Strongly disagree,2.04,3.87,3.37,3.22,2.05,2.91,both,both,front,1 hour,none,Concepts,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Day scholar,Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Independent study,Late night,300000,1000000,7 hours,8  hours,80.0,71.19
Male,6,NO,NO,Strongly Agree,3.05,3.34,3.79,3.23,2.49,3.18,both,Whiteboard,middle,1 hour,50,No Notes,Strongly agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Day scholar,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly Agree,Strongly disagree,Neutral,Neutral,Neutral,Disagree,Independent study,Late night,300000,1000000,8 hours,10 hours,83.23,84.11
Female,6,YES,YES,Strongly disagree,2.72,3.39,3.1,2.43,3.79,3.09,Urdu,both,front,1 hour,none,Notes,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Day scholar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly disagree,Neutral,Agree,Neutral,Strongly Agree,Group study,Late night,300000,1000000,3 hours,4  hours,76.96,73.37
Male,7,NO,NO,Neutral,1.35,3.5,2.62,2.03,2.58,2.42,both,Whiteboard,none,1 hour,30,Concepts,Strongly disagree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Day scholar,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Group study,Day time,300000,1000000,3 hours,4  hours,71.85,72.27
Female,4,YES,NO,Agree,1.82,2.13,2.67,2.54,2.29,2.29,English,both,none,none,30,Notes,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Day scholar,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Group study,Late night,300000,1000000,3 hours,4  hours,83.47,71.76
Female,5,YES,YES,Neutral,3.45,2.0,3.8,2.41,3.12,2.96,both,both,front,1 hour,none,Notes,Strongly agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Day scholar,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Group study,Late night,300000,1000000,1 hours,2  hours,75.08,70.4
Female,6,NO,NO,Neutral,1.58,3.88,3.14,3.78,2.06,2.89,both,both,front,1 hour,none,Notes,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Day scholar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Disagree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Disagree,Strongly agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Group study,Day time,300000,1000000,3 hours,4  hours,75.23,86.66
Female,6,NO,NO,Agree,2.3,3.17,3.4,2.54,3.4,2.96,both,both,middle,1 hour,40,Notes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Hostelite,Neutral,Agree,Agree,Agree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Independent study,Day time,300000,1000000,8 hours,10 hours,88.12,91.47
Male,2,NO,NO,Agree,1.79,3.16,2.76,2.81,2.12,2.53,both,both,none,1.5 hour,none,Notes,Strongly agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Day scholar,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Group study,Day time,300000,1000000,1 hours,2  hours,72.87,87.28
Female,6,YES,NO,Neutral,2.05,2.81,3.99,2.27,3.38,2.9,both,Power point,front,1 hour,none,Notes,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Hostelite,Strongly Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Group study,Late night,300000,1000000,8 hours,10 hours,83.34,90.15
Male,5,NO,NO,Strongly Agree,3.0,3.5,3.87,3.41,2.31,3.22,both,both,front,1 hour,30,No Notes,Disagree,Agree,Strongly agree,Disagree,Neutral,Agree,Disagree,Disagree,Day scholar,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Agree,Independent study,Late night,300000,1000000,7 hours,8  hours,77.2,73.08
Male,6,YES,NO,Neutral,2.04,2.9,3.1,2.48,3.56,2.82,both,both,none,1 hour,none,Notes,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Day scholar,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Independent study,Late night,300000,1000000,5 hours,6  hours,73.51,88.58
Male,6,NO,NO,Agree,2.19,2.63,3.81,3.95,2.34,2.98,Urdu,both,none,1 hour,30,No Notes,Strongly disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Day scholar,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Group study,Late night,300000,1000000,5 hours,6  hours,75.1,83.91
Male,6,NO,NO,Strongly Agree,1.73,3.92,3.87,2.61,2.57,2.94,both,both,none,1 hour,none,Notes,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Hostelite,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Neutral,Neutral,Independent study,Late night,300000,1000000,3 hours,4  hours,72.27,72.26
Male,5,YES,YES,Strongly Agree,1.23,3.21,2.99,3.74,3.52,2.94,both,both,none,1 hour,30,No Notes,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Disagree,Agree,Disagree,Day scholar,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly Agree,Strongly disagree,Agree,Agree,Neutral,Strongly Agree,Independent study,Late night,300000,1000000,5 hours,6  hours,89.9,82.99
Male,5,YES,NO,Agree,1.25,2.2,3.65,2.4,3.91,2.68,Urdu,Power point,front,1 hour,40,Notes,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Hostelite,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Independent study,Late night,300000,1000000,3 hours,4  hours,70.9,71.39
Male,5,YES,NO,Neutral,3.85,2.26,2.67,3.76,2.1,2.93,both,both,none,1 hour,30,No Notes,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Strongly agree,Day scholar,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Group study,Late night,300000,1000000,7 hours,8  hours,92.43,89.92
Male,6,YES,NO,Strongly Agree,1.65,3.03,3.97,2.63,3.03,2.86,both,both,front,1 hour,none,Notes,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Hostelite,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Independent study,Late night,300000,1000000,7 hours,8  hours,90.35,73.42
